issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,128,0,0,0,0,0,0,42695938
2,128,128,10,2,1,2,32,2,41336881
2,128,128,10,2,2,1,32,1,41535663
2,128,128,10,2,2,1,32,3,40789164
2,128,128,10,2,2,2,32,1,41540134
2,128,128,10,4,1,2,16,2,41606317
2,128,128,10,6,1,2,16,1,41854685
2,128,128,10,6,1,4,48,3,39405576
2,128,128,10,6,2,1,32,3,41178835
2,128,128,20,2,1,4,48,3,38868685
2,128,128,20,2,2,1,32,1,41466232
2,128,128,20,6,1,1,48,3,38414988
2,128,128,30,2,1,1,16,3,40173783
2,128,128,30,2,2,1,32,2,39635008
2,128,128,30,2,2,2,16,3,40575569
2,128,128,30,4,1,2,32,3,40032233
2,128,128,30,4,1,2,48,3,37519658
2,128,128,30,4,1,4,32,2,38516019
2,128,128,30,4,2,1,48,1,41277110
2,128,128,30,4,2,1,48,2,39464165
2,128,128,40,2,1,2,16,2,41133182
2,128,128,40,4,1,4,16,2,40957838
2,128,128,40,4,2,2,16,1,41305139
2,128,128,40,4,2,2,48,3,36302801
2,128,128,40,4,2,4,32,1,41293302
2,128,128,40,6,1,2,48,1,41263875
2,128,128,40,6,1,4,32,3,36976253
2,128,128,40,6,2,2,16,2,41035996
2,128,128,50,4,1,1,32,1,41305583
2,128,128,50,4,1,1,48,2,40599707
2,128,128,50,4,2,1,32,3,40236935
2,128,128,50,6,2,1,48,3,37261755
2,128,128,60,2,1,1,48,2,40925806
2,128,128,60,2,2,4,32,1,41415158
2,128,128,60,4,1,4,16,3,40542277
2,128,128,60,4,2,4,16,2,40591956
2,128,32,0,0,0,0,0,0,42702657
2,128,32,10,4,1,2,48,1,41426039
2,128,32,10,4,2,4,32,1,41386854
2,128,32,10,6,2,1,32,1,41448310
2,128,32,10,6,2,2,16,1,41725982
2,128,32,10,6,2,4,16,2,41361072
2,128,32,10,6,2,4,16,3,41368639
2,128,32,20,2,1,2,16,2,41474822
2,128,32,20,2,2,2,48,3,37695712
2,128,32,30,4,2,4,48,1,41280599
2,128,32,30,6,1,4,48,3,37935187
2,128,32,40,2,2,1,48,1,41392147
2,128,32,40,2,2,4,48,2,40849415
2,128,32,40,4,2,4,32,3,36997202
