issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,128,0,0,0,0,0,0,42610541
2,128,128,10,2,1,2,32,2,23393732
2,128,128,10,2,2,1,32,1,23751145
2,128,128,10,2,2,1,32,3,25196166
2,128,128,10,2,2,2,32,1,23600922
2,128,128,10,4,1,2,16,2,22714112
2,128,128,10,6,1,2,16,1,25088845
2,128,128,10,6,1,4,48,3,17575361
2,128,128,10,6,2,1,32,3,19437689
2,128,128,20,2,1,4,48,3,19967479
2,128,128,20,2,2,1,32,1,22237942
2,128,128,20,6,1,1,48,3,16374269
2,128,128,30,2,1,1,16,3,20761745
2,128,128,30,2,2,1,32,2,19568507
2,128,128,30,2,2,2,16,3,20761640
2,128,128,30,4,1,2,32,3,17286844
2,128,128,30,4,1,2,48,3,17260798
2,128,128,30,4,1,4,32,2,18575521
2,128,128,30,4,2,1,48,1,20643726
2,128,128,30,4,2,1,48,2,18128401
2,128,128,40,2,1,2,16,2,19606262
2,128,128,40,4,1,4,16,2,18363321
2,128,128,40,4,2,2,16,1,23526065
2,128,128,40,4,2,2,48,3,17023470
2,128,128,40,4,2,4,32,1,20612937
2,128,128,40,6,1,2,48,1,20281021
2,128,128,40,6,1,4,32,3,16274210
2,128,128,40,6,2,2,16,2,16113863
2,128,128,50,4,1,1,32,1,20200615
2,128,128,50,4,1,1,48,2,18500679
2,128,128,50,4,2,1,32,3,18274110
2,128,128,50,6,2,1,48,3,16373716
2,128,128,60,2,1,1,48,2,19443396
2,128,128,60,2,2,4,32,1,20800526
2,128,128,60,4,1,4,16,3,17674122
2,128,128,60,4,2,4,16,2,18500681
2,128,32,0,0,0,0,0,0,42614590
2,128,32,10,4,1,2,48,1,22794101
2,128,32,10,4,2,4,32,1,23001076
2,128,32,10,6,2,1,32,1,23151154
2,128,32,10,6,2,2,16,1,25088892
2,128,32,10,6,2,4,16,2,20439223
2,128,32,10,6,2,4,16,3,20600935
2,128,32,20,2,1,2,16,2,21556465
2,128,32,20,2,2,2,48,3,19967974
2,128,32,30,4,2,4,48,1,20643802
2,128,32,30,6,1,4,48,3,16510689
2,128,32,40,2,2,1,48,1,20881290
2,128,32,40,2,2,4,48,2,18934417
2,128,32,40,4,2,4,32,3,17024610
2,128,32,40,6,1,4,32,1,20612832
2,128,32,50,2,1,2,48,3,19242575
2,128,32,50,2,1,4,48,1,20718718
2,128,32,50,2,1,4,48,2,19443299
2,128,32,50,2,2,4,16,2,19443473
2,128,32,50,6,2,2,48,1,20193623
2,128,32,60,2,1,2,48,1,20793747
2,128,32,60,2,1,2,32,2,19443505
2,128,32,60,2,2,2,32,2,19443505
2,128,32,60,4,1,2,16,2,18500864
2,128,32,60,4,2,1,16,1,23188872
2,128,32,60,6,1,2,48,3,16349200
2,128,96,0,0,0,0,0,0,42612257
2,128,96,10,6,2,1,16,2,20464544
2,128,96,20,4,1,2,16,2,20076493
2,128,96,20,4,2,1,32,3,16950015
2,128,96,20,6,1,2,48,1,21556454
2,128,96,30,2,1,4,32,3,19280795
2,128,96,30,2,2,1,48,1,21169274
2,128,96,30,2,2,2,48,1,21169216
2,128,96,30,2,2,2,32,3,19280837
2,128,96,30,2,2,4,16,1,25001511
2,128,96,30,2,2,4,16,3,19137082
2,128,96,30,4,1,1,32,3,17287433
2,128,96,30,4,1,4,48,2,18575640
2,128,96,30,6,2,1,16,1,24701736
2,128,96,40,2,1,4,16,1,23963953
2,128,96,40,2,2,4,32,2,19606200
2,128,96,40,6,2,4,48,3,16274064
2,128,96,50,2,1,1,48,3,19205153
2,128,96,50,4,1,1,16,1,23264252
2,128,96,50,4,1,1,48,2,18501222
2,128,96,50,4,2,4,16,3,18024746
2,128,96,50,6,1,1,32,2,16251067
2,128,96,50,6,1,2,16,2,16176273
2,128,96,50,6,2,2,32,2,16175853
2,128,96,60,4,1,4,48,1,20268974
2,128,96,60,4,2,2,16,2,18501240
2,128,96,60,6,2,4,16,2,16251107
2,192,128,0,0,0,0,0,0,42610746
2,192,128,10,2,2,1,32,1,23751145
2,192,128,10,4,1,1,16,2,22714316
2,192,128,10,4,2,2,16,1,25089057
2,192,128,10,6,1,2,16,3,20575664
2,192,128,10,6,2,2,32,1,23000945
