issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,128,0,0,0,0,0,0,102223748
2,128,128,10,2,1,2,32,2,84786494
2,128,128,10,2,2,1,32,1,92661869
2,128,128,10,2,2,1,32,3,84111685
2,128,128,10,2,2,2,32,1,92808327
2,128,128,10,4,1,2,16,2,84288802
2,128,128,10,6,1,2,16,1,92090393
2,128,128,10,6,1,4,48,3,83806239
2,128,128,10,6,2,1,32,3,82654639
2,128,128,20,2,1,4,48,3,79661228
2,128,128,20,2,2,1,32,1,83708681
2,128,128,20,6,1,1,48,3,80758447
2,128,128,30,2,1,1,16,3,85196486
2,128,128,30,2,2,1,32,2,83171101
2,128,128,30,2,2,2,16,3,83123719
2,128,128,30,4,1,2,32,3,81810971
2,128,128,30,4,1,2,48,3,81407746
2,128,128,30,4,1,4,32,2,82005773
2,128,128,30,4,2,1,48,1,85904301
2,128,128,30,4,2,1,48,2,81484578
2,128,128,40,2,1,2,16,2,85744613
2,128,128,40,4,1,4,16,2,83527173
2,128,128,40,4,2,2,16,1,85146688
2,128,128,40,4,2,2,48,3,81787426
2,128,128,40,4,2,4,32,1,83284594
2,128,128,40,6,1,2,48,1,82258725
2,128,128,40,6,1,4,32,3,82505529
2,128,128,40,6,2,2,16,2,86197889
2,128,128,50,4,1,1,32,1,84790807
2,128,128,50,4,1,1,48,2,84174705
2,128,128,50,4,2,1,32,3,86296176
2,128,128,50,6,2,1,48,3,85786775
2,128,128,60,2,1,1,48,2,82824407
2,128,128,60,2,2,4,32,1,82717892
2,128,128,60,4,1,4,16,3,85765178
2,128,128,60,4,2,4,16,2,83243281
2,128,32,0,0,0,0,0,0,102305084
2,128,32,10,4,1,2,48,1,91411664
2,128,32,10,4,2,4,32,1,92160669
2,128,32,10,6,2,1,32,1,91750942
2,128,32,10,6,2,2,16,1,92059113
2,128,32,10,6,2,4,16,2,85188740
2,128,32,10,6,2,4,16,3,86205323
2,128,32,20,2,1,2,16,2,83299240
2,128,32,20,2,2,2,48,3,80744421
2,128,32,30,4,2,4,48,1,82458933
2,128,32,30,6,1,4,48,3,81828924
2,128,32,40,2,2,1,48,1,84967059
2,128,32,40,2,2,4,48,2,83510497
2,128,32,40,4,2,4,32,3,83125077
2,128,32,40,6,1,4,32,1,83436836
2,128,32,50,2,1,2,48,3,83375790
2,128,32,50,2,1,4,48,1,81599633
2,128,32,50,2,1,4,48,2,83845070
2,128,32,50,2,2,4,16,2,85689822
2,128,32,50,6,2,2,48,1,82076540
2,128,32,60,2,1,2,48,1,82019530
2,128,32,60,2,1,2,32,2,82635503
2,128,32,60,2,2,2,32,2,82635503
2,128,32,60,4,1,2,16,2,83453262
2,128,32,60,4,2,1,16,1,85750523
2,128,32,60,6,1,2,48,3,83028640
2,128,96,0,0,0,0,0,0,102226944
2,128,96,10,6,2,1,16,2,87214265
2,128,96,20,4,1,2,16,2,84886697
2,128,96,20,4,2,1,32,3,82026256
2,128,96,20,6,1,2,48,1,81930572
2,128,96,30,2,1,4,32,3,82957064
2,128,96,30,2,2,1,48,1,86298969
2,128,96,30,2,2,2,48,1,84911081
2,128,96,30,2,2,2,32,3,82588321
2,128,96,30,2,2,4,16,1,86441912
2,128,96,30,2,2,4,16,3,84808244
2,128,96,30,4,1,1,32,3,83631199
2,128,96,30,4,1,4,48,2,80990109
2,128,96,30,6,2,1,16,1,88820090
2,128,96,40,2,1,4,16,1,85881834
2,128,96,40,2,2,4,32,2,82689117
2,128,96,40,6,2,4,48,3,82242708
2,128,96,50,2,1,1,48,3,85973581
2,128,96,50,4,1,1,16,1,85630510
2,128,96,50,4,1,1,48,2,85862437
2,128,96,50,4,2,4,16,3,84948587
2,128,96,50,6,1,1,32,2,86293264
2,128,96,50,6,1,2,16,2,84844267
2,128,96,50,6,2,2,32,2,84902603
2,128,96,60,4,1,4,48,1,81077866
2,128,96,60,4,2,2,16,2,83364549
2,128,96,60,6,2,4,16,2,84282402
2,192,128,0,0,0,0,0,0,102224662
2,192,128,10,2,2,1,32,1,92661869
2,192,128,10,4,1,1,16,2,87200951
2,192,128,10,4,2,2,16,1,92076319
2,192,128,10,6,1,2,16,3,84277192
2,192,128,10,6,2,2,32,1,91924055
2,192,128,10,6,2,4,48,2,82404481
2,192,128,20,2,1,2,48,3,80746693
2,192,128,20,2,2,2,32,2,80922514
2,192,128,20,4,1,2,16,2,85177421
2,192,128,20,4,1,4,48,3,79422989
2,192,128,20,4,2,4,32,1,82373123
2,192,128,20,6,2,4,48,2,79414817
2,192,128,30,2,1,1,32,1,86906280
2,192,128,30,2,2,4,32,1,84296792
2,192,128,30,4,2,2,48,1,83679521
2,192,128,30,6,2,1,32,3,83445631
2,192,128,30,6,2,2,16,1,87738322
2,192,128,30,6,2,2,48,1,83679521
2,192,128,40,4,1,1,16,1,86231139
2,192,128,40,4,1,1,16,3,83961240
2,192,128,40,4,2,2,48,2,81265735
2,192,128,40,6,1,1,32,3,83375707
2,192,128,50,4,1,4,32,1,81607792
2,192,128,50,6,1,4,32,3,83636431
2,192,128,50,6,2,2,32,3,83644921
2,192,128,60,2,1,1,32,3,85558712
2,192,128,60,4,1,2,16,2,83319427
2,192,128,60,4,2,2,48,1,81850653
2,192,32,0,0,0,0,0,0,102305084
2,192,32,10,2,1,2,48,3,84523004
2,192,32,10,2,2,4,32,2,85860140
2,192,32,10,2,2,4,48,3,84185667
2,192,32,10,4,2,4,48,3,83623188
2,192,32,10,6,2,1,48,2,84813079
2,192,32,20,2,1,1,32,1,83549641
2,192,32,20,2,1,2,48,1,82339999
2,192,32,20,6,2,4,48,1,81672892
2,192,32,30,2,2,1,16,2,84830670
2,192,32,30,2,2,2,32,2,81674573
2,192,32,30,2,2,4,16,1,86776293
2,192,32,30,4,1,1,48,2,81643491
2,192,32,30,4,2,2,48,1,83674704
2,192,32,40,2,2,2,32,1,83946251
2,192,32,40,6,1,1,48,1,84604042
2,192,32,40,6,1,1,16,2,83842905
2,192,32,40,6,2,4,16,1,84156126
2,192,32,50,2,2,2,16,2,85654536
2,192,32,50,2,2,2,48,3,83528792
2,192,32,50,4,2,2,32,3,84176203
2,192,32,50,6,1,4,48,3,83560266
2,192,32,60,2,1,2,48,3,83363099
2,192,32,60,2,2,1,32,3,85982170
2,192,32,60,2,2,2,48,3,83669134
2,192,32,60,2,2,4,48,3,83344659
2,192,32,60,4,2,2,48,2,81489345
2,192,32,60,6,2,4,48,3,82812283
2,192,96,0,0,0,0,0,0,102226944
2,192,96,10,2,2,2,48,2,84623872
2,192,96,10,4,1,1,48,2,81444712
2,192,96,10,4,1,2,32,1,91913684
2,192,96,10,4,2,2,48,1,91442465
2,192,96,10,4,2,2,48,2,83702238
2,192,96,10,6,1,4,16,1,92319745
2,192,96,20,2,1,1,32,1,83667238
2,192,96,20,2,1,2,32,2,81157558
2,192,96,20,2,2,1,32,3,81797196
2,192,96,20,2,2,2,48,3,80750336
2,192,96,20,6,1,1,16,3,82979585
2,192,96,30,2,1,4,16,3,83345562
2,192,96,30,2,2,2,16,1,88863447
2,192,96,40,2,1,1,16,1,87346276
2,192,96,40,2,1,2,16,2,86158943
2,192,96,40,2,2,2,32,1,83785399
2,192,96,40,4,1,4,16,3,83963446
2,192,96,40,6,2,1,32,1,85493543
2,192,96,40,6,2,4,48,1,82297525
2,192,96,50,2,1,1,48,3,86304225
2,192,96,50,4,1,1,32,2,86293264
2,192,96,50,4,1,4,16,2,85648350
2,192,96,50,6,1,4,32,3,83815781
2,192,96,60,2,1,1,16,1,86610245
2,192,96,60,2,1,2,32,3,84896767
2,192,96,60,2,2,1,48,1,84513155
2,192,96,60,4,2,1,16,2,84181632
2,32,128,0,0,0,0,0,0,102325298
2,32,128,10,2,1,2,16,2,85844766
2,32,128,20,2,1,1,48,1,82743445
2,32,128,20,2,1,4,32,3,81310344
2,32,128,20,4,2,1,16,3,82592094
2,32,128,20,6,2,4,16,1,84891143
2,32,128,30,2,1,1,16,2,84915795
2,32,128,30,4,2,4,16,1,85180918
2,32,128,30,6,2,2,32,1,84641098
2,32,128,40,2,2,2,32,3,83911561
2,32,128,40,2,2,4,16,2,84781243
2,32,128,40,4,1,2,48,2,81871601
2,32,128,40,6,1,2,16,2,84356574
2,32,128,40,6,1,2,32,3,83772627
2,32,128,50,2,2,4,48,2,81912841
2,32,128,50,4,2,2,16,2,84616540
2,32,128,50,6,1,2,16,3,85249716
2,32,128,50,6,1,2,32,3,84229006
2,32,128,60,4,1,4,48,3,83021149
2,32,128,60,4,2,1,32,2,83254047
2,32,128,60,6,1,2,48,2,82038432
2,32,128,60,6,1,4,32,2,82068159
2,32,32,0,0,0,0,0,0,102572324
2,32,32,10,2,1,1,16,1,92299660
2,32,32,10,2,1,2,16,2,86254887
2,32,32,10,2,1,4,32,2,86296445
2,32,32,10,2,1,4,48,3,84544336
2,32,32,10,4,1,2,32,3,83248907
2,32,32,10,4,2,1,32,1,90347870
2,32,32,10,6,1,2,16,2,84582947
2,32,32,20,6,1,2,48,3,80341580
