issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,128,0,0,0,0,0,0,80915670
2,128,128,10,2,1,2,32,2,80912311
2,128,128,10,2,2,1,32,1,80911509
2,128,128,10,2,2,1,32,3,80912467
2,128,128,10,2,2,2,32,1,80911745
2,128,128,10,4,1,2,16,2,80912095
2,128,128,10,6,1,2,16,1,80912375
2,128,128,10,6,1,4,48,3,80911268
2,128,128,10,6,2,1,32,3,80912554
2,128,128,20,2,1,4,48,3,65857237
2,128,128,20,2,2,1,32,1,80911957
2,128,128,20,6,1,1,48,3,80911059
2,128,128,30,2,1,1,16,3,79445274
2,128,128,30,2,2,1,32,2,80911759
2,128,128,30,2,2,2,16,3,67224653
2,128,128,30,4,1,2,32,3,67224494
2,128,128,30,4,1,2,48,3,67219613
2,128,128,30,4,1,4,32,2,80911985
2,128,128,30,4,2,1,48,1,80911715
2,128,128,30,4,2,1,48,2,80912008
2,128,128,40,2,1,2,16,2,80912184
2,128,128,40,4,1,4,16,2,80912114
2,128,128,40,4,2,2,16,1,80912341
2,128,128,40,4,2,2,48,3,67224557
2,128,128,40,4,2,4,32,1,80911683
2,128,128,40,6,1,2,48,1,80911656
2,128,128,40,6,1,4,32,3,68578027
2,128,128,40,6,2,2,16,2,80911907
2,128,128,50,4,1,1,32,1,80911773
2,128,128,50,4,1,1,48,2,80912042
2,128,128,50,4,2,1,32,3,63119900
2,128,128,50,6,2,1,48,3,63118575
2,128,128,60,2,1,1,48,2,80909060
2,128,128,60,2,2,4,32,1,80911696
2,128,128,60,4,1,4,16,3,65856035
2,128,128,60,4,2,4,16,2,80912017
2,128,32,0,0,0,0,0,0,80918821
2,128,32,10,4,1,2,48,1,80911355
2,128,32,10,4,2,4,32,1,80911390
2,128,32,10,6,2,1,32,1,80911472
2,128,32,10,6,2,2,16,1,80911783
2,128,32,10,6,2,4,16,2,80911838
2,128,32,10,6,2,4,16,3,80912081
2,128,32,20,2,1,2,16,2,80911930
2,128,32,20,2,2,2,48,3,65856676
2,128,32,30,4,2,4,48,1,80911293
2,128,32,30,6,1,4,48,3,67223261
2,128,32,40,2,2,1,48,1,80911398
2,128,32,40,2,2,4,48,2,80911459
2,128,32,40,4,2,4,32,3,68578142
2,128,32,40,6,1,4,32,1,80911466
2,128,32,50,2,1,2,48,3,61749739
2,128,32,50,2,1,4,48,1,80911307
2,128,32,50,2,1,4,48,2,80911457
2,128,32,50,2,2,4,16,2,80911679
2,128,32,50,6,2,2,48,1,80911466
2,128,32,60,2,1,2,48,1,80911337
2,128,32,60,2,1,2,32,2,80911601
2,128,32,60,2,2,2,32,2,80911601
2,128,32,60,4,1,2,16,2,80911649
2,128,32,60,4,2,1,16,1,80911668
2,128,32,60,6,1,2,48,3,65851328
2,128,96,0,0,0,0,0,0,80916818
2,128,96,10,6,2,1,16,2,80912355
2,128,96,20,4,1,2,16,2,80912292
2,128,96,20,4,2,1,32,3,80912565
2,128,96,20,6,1,2,48,1,80911936
2,128,96,30,2,1,4,32,3,67224606
2,128,96,30,2,2,1,48,1,80912264
2,128,96,30,2,2,2,48,1,80912205
2,128,96,30,2,2,2,32,3,67224404
2,128,96,30,2,2,4,16,1,80912179
2,128,96,30,2,2,4,16,3,67224925
2,128,96,30,4,1,1,32,3,63119571
2,128,96,30,4,1,4,48,2,80911916
2,128,96,30,6,2,1,16,1,80912541
2,128,96,40,2,1,4,16,1,80912179
2,128,96,40,2,2,4,32,2,80912155
2,128,96,40,6,2,4,48,3,67225321
2,128,96,50,2,1,1,48,3,63118937
2,128,96,50,4,1,1,16,1,80912533
2,128,96,50,4,1,1,48,2,80912171
2,128,96,50,4,2,4,16,3,68594067
2,128,96,50,6,1,1,32,2,80912042
2,128,96,50,6,1,2,16,2,80912236
2,128,96,50,6,2,2,32,2,80911918
2,128,96,60,4,1,4,48,1,80911885
2,128,96,60,4,2,2,16,2,80912162
2,128,96,60,6,2,4,16,2,80911828
2,192,128,0,0,0,0,0,0,80915409
2,192,128,10,2,2,1,32,1,80911509
2,192,128,10,4,1,1,16,2,80912225
2,192,128,10,4,2,2,16,1,80912114
2,192,128,10,6,1,2,16,3,80912576
2,192,128,10,6,2,2,32,1,80911751
2,192,128,10,6,2,4,48,2,80912146
2,192,128,20,2,1,2,48,3,65857159
2,192,128,20,2,2,2,32,2,80912150
2,192,128,20,4,1,2,16,2,80912136
2,192,128,20,4,1,4,48,3,65856400
2,192,128,20,4,2,4,32,1,80911709
2,192,128,20,6,2,4,48,2,80908592
2,192,128,30,2,1,1,32,1,80911542
2,192,128,30,2,2,4,32,1,80911692
2,192,128,30,4,2,2,48,1,80911656
2,192,128,30,6,2,1,32,3,63119730
2,192,128,30,6,2,2,16,1,80912341
2,192,128,30,6,2,2,48,1,80911656
2,192,128,40,4,1,1,16,1,80912140
2,192,128,40,4,1,1,16,3,68578346
2,192,128,40,4,2,2,48,2,80909245
2,192,128,40,6,1,1,32,3,69931306
2,192,128,50,4,1,4,32,1,80911683
2,192,128,50,6,1,4,32,3,61750254
2,192,128,50,6,2,2,32,3,61750000
2,192,128,60,2,1,1,32,3,68591781
2,192,128,60,4,1,2,16,2,80912033
2,192,128,60,4,2,2,48,1,80911396
2,192,32,0,0,0,0,0,0,80918821
2,192,32,10,2,1,2,48,3,80911840
2,192,32,10,2,2,4,32,2,80911796
2,192,32,10,2,2,4,48,3,80911984
2,192,32,10,4,2,4,48,3,80910891
2,192,32,10,6,2,1,48,2,80911516
2,192,32,20,2,1,1,32,1,80911792
2,192,32,20,2,1,2,48,1,80911501
2,192,32,20,6,2,4,48,1,80911439
2,192,32,30,2,2,1,16,2,80911974
2,192,32,30,2,2,2,32,2,80911634
2,192,32,30,2,2,4,16,1,80911590
2,192,32,30,4,1,1,48,2,80911542
2,192,32,30,4,2,2,48,1,80911466
2,192,32,40,2,2,2,32,1,80911509
2,192,32,40,6,1,1,48,1,80911527
2,192,32,40,6,1,1,16,2,80912042
2,192,32,40,6,2,4,16,1,80911719
2,192,32,50,2,2,2,16,2,80911634
2,192,32,50,2,2,2,48,3,61749909
2,192,32,50,4,2,2,32,3,61750248
2,192,32,50,6,1,4,48,3,61749619
2,192,32,60,2,1,2,48,3,67224046
2,192,32,60,2,2,1,32,3,68591603
2,192,32,60,2,2,2,48,3,67220367
2,192,32,60,2,2,4,48,3,67223824
2,192,32,60,4,2,2,48,2,80911529
2,192,32,60,6,2,4,48,3,65855079
2,192,96,0,0,0,0,0,0,80916818
2,192,96,10,2,2,2,48,2,80911884
2,192,96,10,4,1,1,48,2,80912221
2,192,96,10,4,1,2,32,1,80912005
2,192,96,10,4,2,2,48,1,80912221
2,192,96,10,4,2,2,48,2,80912140
2,192,96,10,6,1,4,16,1,80912200
2,192,96,20,2,1,1,32,1,80912237
2,192,96,20,2,1,2,32,2,80912306
2,192,96,20,2,2,1,32,3,80912569
2,192,96,20,2,2,2,48,3,65857331
2,192,96,20,6,1,1,16,3,80912675
2,192,96,30,2,1,4,16,3,67224594
2,192,96,30,2,2,2,16,1,80912486
2,192,96,40,2,1,1,16,1,80912269
2,192,96,40,2,1,2,16,2,80912036
2,192,96,40,2,2,2,32,1,80912261
2,192,96,40,4,1,4,16,3,68608764
2,192,96,40,6,2,1,32,1,80912304
2,192,96,40,6,2,4,48,1,80911885
2,192,96,50,2,1,1,48,3,63119136
2,192,96,50,4,1,1,32,2,80912042
2,192,96,50,4,1,4,16,2,80911864
2,192,96,50,6,1,4,32,3,61750385
2,192,96,60,2,1,1,16,1,80912269
2,192,96,60,2,1,2,32,3,67222557
2,192,96,60,2,2,1,48,1,80911989
2,192,96,60,4,2,1,16,2,80912297
2,32,128,0,0,0,0,0,0,80916809
2,32,128,10,2,1,2,16,2,80913564
2,32,128,20,2,1,1,48,1,80913016
2,32,128,20,2,1,4,32,3,65859217
2,32,128,20,4,2,1,16,3,80913627
2,32,128,20,6,2,4,16,1,80913452
2,32,128,30,2,1,1,16,2,80913270
2,32,128,30,4,2,4,16,1,80913443
2,32,128,30,6,2,2,32,1,80912847
2,32,128,40,2,2,2,32,3,68578845
2,32,128,40,2,2,4,16,2,80913062
2,32,128,40,4,1,2,48,2,80913023
2,32,128,40,6,1,2,16,2,80913249
2,32,128,40,6,1,2,32,3,68578810
2,32,128,50,2,2,4,48,2,80912912
2,32,128,50,4,2,2,16,2,80913181
2,32,128,50,6,1,2,16,3,61751485
2,32,128,50,6,1,2,32,3,61751398
2,32,128,60,4,1,4,48,3,65855823
2,32,128,60,4,2,1,32,2,80913236
2,32,128,60,6,1,2,48,2,80912977
2,32,128,60,6,1,4,32,2,80913128
2,32,32,0,0,0,0,0,0,80920457
2,32,32,10,2,1,1,16,1,80913578
2,32,32,10,2,1,2,16,2,80913582
2,32,32,10,2,1,4,32,2,80912426
2,32,32,10,2,1,4,48,3,80913501
2,32,32,10,4,1,2,32,3,80913686
2,32,32,10,4,2,1,32,1,80912065
2,32,32,10,6,1,2,16,2,80912563
2,32,32,20,6,1,2,48,3,65858056
2,32,32,30,2,2,2,16,1,80913241
2,32,32,30,4,1,1,16,3,72651815
2,32,32,30,4,2,2,16,1,80912210
2,32,32,30,6,1,2,16,2,80913203
2,32,32,30,6,2,1,32,2,80912128
2,32,32,40,2,1,1,48,3,71284266
2,32,32,40,2,2,2,16,3,68595520
2,32,32,40,2,2,4,16,1,80912194
2,32,32,40,2,2,4,48,2,80913004
2,32,32,40,6,1,1,48,1,80913015
2,32,32,40,6,1,4,48,3,67226570
2,32,32,50,2,1,1,16,2,80913340
2,32,32,50,2,1,1,32,3,67177942
2,32,32,50,4,2,2,48,3,61750291
2,32,32,60,2,2,2,32,2,80912146
2,32,32,60,2,2,4,32,2,80913168
2,32,32,60,4,1,1,16,1,80912272
2,32,32,60,4,1,1,48,1,80911998
2,32,32,60,4,2,1,48,1,80911998
2,32,32,60,6,1,2,48,2,80912930
2,32,32,60,6,2,1,48,1,80911998
2,32,96,0,0,0,0,0,0,80917615
2,32,96,10,4,1,2,48,3,80911956
2,32,96,20,2,1,2,48,2,80909814
2,32,96,20,2,1,4,48,1,80912585
2,32,96,20,2,2,4,32,1,80912781
2,32,96,20,4,2,4,16,1,80912962
2,32,96,20,6,1,1,16,1,80913224
2,32,96,20,6,2,4,32,1,80912767
2,32,96,30,2,1,2,16,3,67225327
2,32,96,30,2,2,1,32,1,80912740
2,32,96,30,2,2,2,32,3,67225377
2,32,96,30,2,2,4,48,1,80912686
2,32,96,30,4,1,2,16,1,80912983
2,32,96,30,4,1,2,48,1,80912701
2,32,96,30,4,1,4,48,1,80912564
2,32,96,30,6,2,1,32,2,80912625
2,32,96,40,2,1,2,32,2,80912587
2,32,96,40,4,2,1,48,2,80912751
2,32,96,40,4,2,2,16,1,80912983
2,32,96,40,6,2,4,48,1,80912671
2,32,96,50,2,1,2,16,2,80912570
2,32,96,50,4,1,2,16,1,80912983
2,32,96,50,6,1,1,48,3,63119500
2,32,96,50,6,1,4,16,1,80912953
2,32,96,60,2,2,2,48,1,80912716
2,32,96,60,4,1,1,16,3,67225903
2,32,96,60,6,2,1,48,3,67221624
