issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,128,0,0,0,0,0,0,12125488
2,128,128,10,2,1,2,32,2,10887476
2,128,128,10,2,2,1,32,1,12100408
2,128,128,10,2,2,1,32,3,10662089
2,128,128,10,2,2,2,32,1,11875565
2,128,128,10,4,1,2,16,2,11165269
2,128,128,10,6,1,2,16,1,11783844
2,128,128,10,6,1,4,48,3,9739638
2,128,128,10,6,2,1,32,3,9968545
2,128,128,20,2,1,4,48,3,6919109
2,128,128,20,2,2,1,32,1,11765850
2,128,128,20,6,1,1,48,3,7504257
2,128,128,30,2,1,1,16,3,7965332
2,128,128,30,2,2,1,32,2,11917236
2,128,128,30,2,2,2,16,3,8152280
2,128,128,30,4,1,2,32,3,6969627
2,128,128,30,4,1,2,48,3,6863636
2,128,128,30,4,1,4,32,2,9369218
2,128,128,30,4,2,1,48,1,11690453
2,128,128,30,4,2,1,48,2,11226688
2,128,128,40,2,1,2,16,2,11526363
2,128,128,40,4,1,4,16,2,11498688
2,128,128,40,4,2,2,16,1,11698965
2,128,128,40,4,2,2,48,3,6920266
2,128,128,40,4,2,4,32,1,11695474
2,128,128,40,6,1,2,48,1,11689767
2,128,128,40,6,1,4,32,3,7123255
2,128,128,40,6,2,2,16,2,11942227
2,128,128,50,4,1,1,32,1,11695620
2,128,128,50,4,1,1,48,2,11294158
2,128,128,50,4,2,1,32,3,7585554
2,128,128,50,6,2,1,48,3,7103685
2,128,128,60,2,1,1,48,2,11170788
2,128,128,60,2,2,4,32,1,11701773
2,128,128,60,4,1,4,16,3,7328734
2,128,128,60,4,2,4,16,2,10894431
2,128,32,0,0,0,0,0,0,12130716
2,128,32,10,4,1,2,48,1,11776687
2,128,32,10,4,2,4,32,1,11869622
2,128,32,10,6,2,1,32,1,11893236
2,128,32,10,6,2,2,16,1,12008175
2,128,32,10,6,2,4,16,2,10828679
2,128,32,10,6,2,4,16,3,9989223
2,128,32,20,2,1,2,16,2,10926235
2,128,32,20,2,2,2,48,3,6937075
2,128,32,30,4,2,4,48,1,11690087
2,128,32,30,6,1,4,48,3,6886238
2,128,32,40,2,2,1,48,1,11696698
2,128,32,40,2,2,4,48,2,10972793
2,128,32,40,4,2,4,32,3,7159502
2,128,32,40,6,1,4,32,1,12085684
2,128,32,50,2,1,2,48,3,7108758
2,128,32,50,2,1,4,48,1,11696366
2,128,32,50,2,1,4,48,2,8634249
2,128,32,50,2,2,4,16,2,12006585
2,128,32,50,6,2,2,48,1,12084224
2,128,32,60,2,1,2,48,1,11696414
2,128,32,60,2,1,2,32,2,11612061
2,128,32,60,2,2,2,32,2,11612061
2,128,32,60,4,1,2,16,2,12006784
