issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,128,0,0,0,0,0,0,9542802
2,128,128,10,2,1,2,32,2,7000775
2,128,128,10,2,2,1,32,1,7133527
2,128,128,10,2,2,1,32,3,5783047
2,128,128,10,2,2,2,32,1,7190062
2,128,128,10,4,1,2,16,2,5805689
2,128,128,10,6,1,2,16,1,6698399
2,128,128,10,6,1,4,48,3,5514286
2,128,128,10,6,2,1,32,3,5689369
2,128,128,20,2,1,4,48,3,5211988
2,128,128,20,2,2,1,32,1,5333620
2,128,128,20,6,1,1,48,3,4899299
2,128,128,30,2,1,1,16,3,5304091
2,128,128,30,2,2,1,32,2,5279360
2,128,128,30,2,2,2,16,3,5440676
2,128,128,30,4,1,2,32,3,4899832
2,128,128,30,4,1,2,48,3,4767776
2,128,128,30,4,1,4,32,2,4958597
2,128,128,30,4,2,1,48,1,4943555
2,128,128,30,4,2,1,48,2,4890380
2,128,128,40,2,1,2,16,2,5236520
2,128,128,40,4,1,4,16,2,4958684
2,128,128,40,4,2,2,16,1,5065698
2,128,128,40,4,2,2,48,3,4897803
2,128,128,40,4,2,4,32,1,5001945
2,128,128,40,6,1,2,48,1,4889896
2,128,128,40,6,1,4,32,3,4899390
2,128,128,40,6,2,2,16,2,4957762
2,128,128,50,4,1,1,32,1,5055635
2,128,128,50,4,1,1,48,2,4890580
2,128,128,50,4,2,1,32,3,4899587
2,128,128,50,6,2,1,48,3,4879643
2,128,128,60,2,1,1,48,2,5172187
2,128,128,60,2,2,4,32,1,5299270
2,128,128,60,4,1,4,16,3,4900494
2,128,128,60,4,2,4,16,2,4958782
2,128,32,0,0,0,0,0,0,9545941
2,128,32,10,4,1,2,48,1,6721908
2,128,32,10,4,2,4,32,1,6721904
2,128,32,10,6,2,1,32,1,5846510
2,128,32,10,6,2,2,16,1,6696862
2,128,32,10,6,2,4,16,2,5801161
2,128,32,10,6,2,4,16,3,5812805
2,128,32,20,2,1,2,16,2,5718295
2,128,32,20,2,2,2,48,3,5182209
2,128,32,30,4,2,4,48,1,4889419
2,128,32,30,6,1,4,48,3,4723091
2,128,32,40,2,2,1,48,1,5220944
2,128,32,40,2,2,4,48,2,5084005
2,128,32,40,4,2,4,32,3,4900235
2,128,32,40,6,1,4,32,1,5000800
2,128,32,50,2,1,2,48,3,5176940
2,128,32,50,2,1,4,48,1,5186744
2,128,32,50,2,1,4,48,2,5166893
2,128,32,50,2,2,4,16,2,5235163
2,128,32,50,6,2,2,48,1,4888732
2,128,32,60,2,1,2,48,1,5186774
2,128,32,60,2,1,2,32,2,5235849
2,128,32,60,2,2,2,32,2,5235849
2,128,32,60,4,1,2,16,2,4957497
2,128,32,60,4,2,1,16,1,5099055
2,128,32,60,6,1,2,48,3,4899085
2,128,96,0,0,0,0,0,0,9543145
2,128,96,10,6,2,1,16,2,5728071
2,128,96,20,4,1,2,16,2,5006240
2,128,96,20,4,2,1,32,3,4948536
2,128,96,20,6,1,2,48,1,4889318
2,128,96,30,2,1,4,32,3,5401494
2,128,96,30,2,2,1,48,1,5221335
2,128,96,30,2,2,2,48,1,5187166
2,128,96,30,2,2,2,32,3,5401187
2,128,96,30,2,2,4,16,1,5342584
2,128,96,30,2,2,4,16,3,5421436
2,128,96,30,4,1,1,32,3,4899397
2,128,96,30,4,1,4,48,2,4894230
2,128,96,30,6,2,1,16,1,5099445
2,128,96,40,2,1,4,16,1,5342584
2,128,96,40,2,2,4,32,2,5216333
2,128,96,40,6,2,4,48,3,4899027
2,128,96,50,2,1,1,48,3,5156714
2,128,96,50,4,1,1,16,1,5099446
2,128,96,50,4,1,1,48,2,4890207
2,128,96,50,4,2,4,16,3,4899554
2,128,96,50,6,1,1,32,2,4957712
2,128,96,50,6,1,2,16,2,4958406
2,128,96,50,6,2,2,32,2,4957595
2,128,96,60,4,1,4,48,1,4889289
2,128,96,60,4,2,2,16,2,4958423
2,128,96,60,6,2,4,16,2,4957789
